Front,Back,Tags
"Create a Pod named nginx with image nginx","kubectl run nginx --image=nginx --restart=Never","imperative,pods,basic"
"Create a Deployment named web with nginx image and 3 replicas","kubectl create deployment web --image=nginx --replicas=3","imperative,deployments,scaling"
"Scale deployment web to 5 replicas","kubectl scale deployment web --replicas=5","imperative,deployments,scaling"
"Update deployment web to use nginx:1.20 image","kubectl set image deployment/web nginx=nginx:1.20","imperative,deployments,updates"
"Rollback deployment web to previous version","kubectl rollout undo deployment/web","imperative,deployments,rollback"
"Check rollout status of deployment web","kubectl rollout status deployment/web","imperative,deployments,status"
"Create a Job named pi that calculates pi","kubectl create job pi --image=perl -- perl -Mbignum=bpi -wle 'print bpi(2000)'","imperative,jobs,batch"
"Create a CronJob that runs every minute","kubectl create cronjob hello --image=busybox --schedule='*/1 * * * *' -- echo hello","imperative,cronjobs,scheduling"
"Delete a CronJob named backup","kubectl delete cronjob backup","imperative,cronjobs,deletion"
"Expose deployment web as NodePort service on port 80","kubectl expose deployment web --type=NodePort --port=80","imperative,services,expose"
"Create a Service named my-service for pods with label app=web","kubectl create service clusterip my-service --tcp=80:8080","imperative,services,creation"
"Create a ConfigMap named config from literal values","kubectl create configmap config --from-literal=key1=value1 --from-literal=key2=value2","imperative,configmaps,creation"
"Create a ConfigMap from a file","kubectl create configmap app-config --from-file=app.properties","imperative,configmaps,file"
"Create a Secret named mysecret with username and password","kubectl create secret generic mysecret --from-literal=username=admin --from-literal=password=secret","imperative,secrets,creation"
"Create a Pod that uses ConfigMap as environment variables","kubectl run pod --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add: envFrom: - configMapRef: name: config","imperative,pods,configmap"
"Create a Pod with environment variable from Secret","kubectl run pod --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add env from secret","imperative,pods,secrets"
"Get Pod logs","kubectl logs <pod-name>","imperative,troubleshooting,logs"
"Get logs from specific container in Pod","kubectl logs <pod-name> -c <container-name>","imperative,troubleshooting,multicontainer"
"Execute command in Pod","kubectl exec -it <pod-name> -- /bin/bash","imperative,troubleshooting,exec"
"Port forward to access Pod locally","kubectl port-forward <pod-name> 8080:80","imperative,troubleshooting,access"
"Get detailed information about a Pod","kubectl describe pod <pod-name>","imperative,troubleshooting,describe"
"Get all resources in namespace","kubectl get all","imperative,inspection,all"
"Get Pods with more information","kubectl get pods -o wide","imperative,inspection,pods"
"Get Pod YAML output","kubectl get pod <pod-name> -o yaml","imperative,inspection,yaml"
"Create a namespace","kubectl create namespace dev","imperative,namespaces,creation"
"Set default namespace for context","kubectl config set-context --current --namespace=dev","imperative,namespaces,context"
"Create Pod with resource limits","kubectl run nginx --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add: resources: limits: memory: 128Mi, cpu: 500m","imperative,pods,resources"
"Create Pod with security context","kubectl run nginx --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add securityContext: runAsUser: 1001","imperative,pods,security"
"Create NetworkPolicy to deny all ingress","kubectl create -f - <<EOF\napiVersion: networking.k8s.io/v1\nkind: NetworkPolicy\nmetadata:\n  name: deny-all\nspec:\n  podSelector: {}\n  policyTypes: [""Ingress""]\nEOF","imperative,networkpolicy,security"
"Create ServiceAccount","kubectl create serviceaccount my-sa","imperative,rbac,serviceaccount"
"Create Role with specific permissions","kubectl create role pod-reader --verb=get,list --resource=pods","imperative,rbac,roles"
"Bind Role to ServiceAccount","kubectl create rolebinding pod-reader-binding --role=pod-reader --serviceaccount=default:my-sa","imperative,rbac,binding"
"Create Ingress for service","kubectl create ingress web --rule=""web.example.com/*=web:80""","imperative,ingress,creation"
"Generate Pod YAML without creating","kubectl run nginx --image=nginx --dry-run=client -o yaml","imperative,yaml,generation"
"Generate Deployment YAML without creating","kubectl create deployment web --image=nginx --dry-run=client -o yaml","imperative,yaml,generation"
"Apply configuration from file","kubectl apply -f app.yaml","imperative,apply,files"
"Delete resources by label","kubectl delete pods -l app=web","imperative,deletion,labels"
"Edit resource directly","kubectl edit deployment web","imperative,editing,live"
"Patch resource with JSON","kubectl patch deployment web -p '{""spec"":{""replicas"":5}}'","imperative,patching,json"
"Get events in current namespace","kubectl get events","imperative,troubleshooting,events"
"Get events sorted by time","kubectl get events --sort-by=.metadata.creationTimestamp","imperative,troubleshooting,events"
"Check resource usage of nodes","kubectl top nodes","imperative,monitoring,resources"
"Check resource usage of pods","kubectl top pods","imperative,monitoring,resources"
"Create Pod with init container","kubectl run app --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add initContainers","imperative,pods,init"
"Create multi-container Pod","kubectl run app --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add second container","imperative,pods,multicontainer"
"Create Pod with volume mount","kubectl run app --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add volumes and volumeMounts","imperative,pods,volumes"
"Create PersistentVolumeClaim","kubectl create -f - <<EOF\napiVersion: v1\nkind: PersistentVolumeClaim\nmetadata:\n  name: my-pvc\nspec:\n  accessModes: [""ReadWriteOnce""]\n  resources:\n    requests:\n      storage: 1Gi\nEOF","imperative,storage,pvc"
"Create Pod using PVC","kubectl run app --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add PVC volume","imperative,pods,pvc"
"Create HorizontalPodAutoscaler","kubectl autoscale deployment web --cpu-percent=50 --min=1 --max=10","imperative,scaling,hpa"
"Install Helm chart","helm install myapp ./chart-directory","imperative,helm,install"
"Upgrade Helm release","helm upgrade myapp ./chart-directory","imperative,helm,upgrade"
"Rollback Helm release","helm rollback myapp 1","imperative,helm,rollback"
"List Helm releases","helm list","imperative,helm,list"
"Uninstall Helm release","helm uninstall myapp","imperative,helm,uninstall"
"Add readiness probe to Pod","kubectl run app --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add readinessProbe","imperative,pods,probes"
"Add liveness probe to Pod","kubectl run app --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add livenessProbe","imperative,pods,probes"
"Create Job with completion count","kubectl create job batch --image=busybox --dry-run=client -o yaml > job.yaml\n# Edit to add completions: 3","imperative,jobs,completion"
"Create Job with parallelism","kubectl create job parallel --image=busybox --dry-run=client -o yaml > job.yaml\n# Edit to add parallelism: 2","imperative,jobs,parallelism"
"View Job status","kubectl describe job <job-name>","imperative,jobs,status"
"Delete completed Jobs","kubectl delete jobs --field-selector=status.successful=1","imperative,jobs,cleanup"
"Create DaemonSet","kubectl create -f - <<EOF\napiVersion: apps/v1\nkind: DaemonSet\nmetadata:\n  name: fluentd\nspec:\n  selector:\n    matchLabels:\n      name: fluentd\n  template:\n    metadata:\n      labels:\n        name: fluentd\n    spec:\n      containers:\n      - name: fluentd\n        image: fluentd\nEOF","imperative,daemonset,creation"
"Create StatefulSet","kubectl create -f - <<EOF\napiVersion: apps/v1\nkind: StatefulSet\nmetadata:\n  name: web\nspec:\n  serviceName: nginx\n  replicas: 3\n  selector:\n    matchLabels:\n      app: nginx\n  template:\n    metadata:\n      labels:\n        app: nginx\n    spec:\n      containers:\n      - name: nginx\n        image: nginx\nEOF","imperative,statefulset,creation"
"Get all CRDs","kubectl get crd","imperative,crd,list"
"Create Custom Resource","kubectl apply -f custom-resource.yaml","imperative,crd,creation"
"Label a node","kubectl label nodes <node-name> disktype=ssd","imperative,nodes,labels"
"Taint a node","kubectl taint nodes <node-name> key=value:NoSchedule","imperative,nodes,taints"
"Remove taint from node","kubectl taint nodes <node-name> key:NoSchedule-","imperative,nodes,taints"
"Drain node for maintenance","kubectl drain <node-name> --ignore-daemonsets","imperative,nodes,maintenance"
"Uncordon node","kubectl uncordon <node-name>","imperative,nodes,maintenance"
"Get node information","kubectl describe node <node-name>","imperative,nodes,inspect"
"Create Pod with node selector","kubectl run app --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add nodeSelector","imperative,pods,scheduling"
"Create Pod with affinity","kubectl run app --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add affinity rules","imperative,pods,affinity"
"Get API resources","kubectl api-resources","imperative,api,resources"
"Get API versions","kubectl api-versions","imperative,api,versions"
"Explain resource fields","kubectl explain pod.spec.containers","imperative,help,explain"
"Get cluster info","kubectl cluster-info","imperative,cluster,info"
"Check kubectl version","kubectl version","imperative,kubectl,version"
"Get current context","kubectl config current-context","imperative,context,current"
"List all contexts","kubectl config get-contexts","imperative,context,list"
"Switch context","kubectl config use-context <context-name>","imperative,context,switch"
"Create Pod with toleration","kubectl run app --image=nginx --dry-run=client -o yaml > pod.yaml\n# Edit to add tolerations","imperative,pods,tolerations"